,mx1,mx2,mx3,mx4,mx5,mx6,mx7,cp1,cp2,ce19,ce37,cu1,cu2,cu3,cu4,cu5,cu7,cu16,cu17,cu18,cu19,cu20,cu21,cu23,cu25,cu29,cu34,cu37,cu38,cu41,cu52,cu53,cu54,cu55,cu56,cu57,cu61,cu64,cu65,cu67,cu68,cu72,cu74,cu75,cu76,cu77,cu78,cu80,cu81,cu82,cu83,cu84,cu85
13448,3.0,0.0,2.0,3.0,0.0,0.0,0.0,38.0,1.0,10.0,4000.0,7.0,4.0,3.0,26656.0,24781.0,500.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,801.0,0.0,0.0,0.0,1.0,1.0,14.0,14.0,-1.0,-1.0,1.0,500.0,3.0,0.0,62.0,62.0,4.0,87.0,84.0,5.0,84.0,128.0,2320.0,0.0
29243,3.0,0.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,11.0,18000.0,12.0,10.0,2.0,18608.0,0.0,400.0,7.0,0.0,1.0,1.0,2.0,3.0,0.0,6.0,4.0,1.0,0.0,1.0,51.0,0.0,2.0,2.0,3.0,4.0,21.0,22.0,-1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1668.0
32561,14.0,0.0,9.0,6.0,1.0,1.0,2.0,30.0,2.0,20.0,6000.0,31.0,16.0,15.0,113271.0,33511.0,195.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,5.0,8.0,2.0,8.0,16.0,1.0,1.0,2.0,4.0,6.0,12.0,12.0,-1.0,12.0,3.0,8718.0,10.0,501.0,58.0,24.0,58.0,133.0,84.0,84.0,84.0,16.0,31625.0,39072.0
24646,21.0,10.0,17.0,15.0,8.0,11.0,11.0,34.0,2.0,10.0,8000.0,54.0,41.0,13.0,66752.0,47217.0,200.0,30.0,8.0,11.0,11.0,11.0,11.0,0.0,36.0,19.0,7.0,1.0,7.0,5.0,8.0,11.0,11.0,11.0,12.0,5.0,5.0,194.0,5.0,1.0,1700.0,12.0,600.0,47.0,47.0,20.0,177.0,29.0,25.0,29.0,5.0,10997.0,483.0
36509,6.0,0.0,6.0,5.0,3.0,3.0,5.0,34.0,1.0,26.0,30000.0,11.0,8.0,3.0,11107.0,0.0,300.0,0.0,0.0,3.0,3.0,7.0,8.0,0.0,7.0,7.0,3.0,0.0,2.0,11.0,2.0,3.0,4.0,8.0,10.0,45.0,45.0,-1.0,45.0,3.0,11023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3657.0
10876,7.0,0.0,2.0,6.0,0.0,0.0,0.0,39.0,2.0,3.0,1606.0,93.0,87.0,6.0,57008.0,25610.0,2118.0,78.0,0.0,1.0,1.0,3.0,9.0,0.0,78.0,13.0,6.0,0.0,0.0,1794.0,1.0,3.0,3.0,4.0,11.0,3.0,3.0,-1.0,1766.0,0.0,0.0,1.0,0.0,24.0,24.0,0.0,24.0,53.0,8.0,53.0,19.0,25610.0,5591.0
33815,1.0,0.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,17.0,1606.0,2.0,0.0,2.0,892.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,-1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,643.0
12093,2.0,1.0,2.0,2.0,2.0,2.0,2.0,60.0,2.0,3.0,1850.0,2.0,1.0,1.0,718.0,0.0,400.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,35.0,0.0,2.0,2.0,2.0,2.0,35.0,35.0,-1.0,35.0,1.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,718.0
23358,11.0,3.0,10.0,10.0,6.0,6.0,8.0,22.0,1.0,10.0,2101.0,28.0,24.0,4.0,17534.0,8789.0,200.0,0.0,1.0,5.0,6.0,19.0,24.0,0.0,24.0,22.0,3.0,0.0,2.0,27.0,2.0,5.0,7.0,21.0,27.0,15.0,15.0,-1.0,15.0,2.0,1200.0,1.0,0.0,6.0,6.0,0.0,6.0,13.0,0.0,13.0,11.0,9280.0,1768.0
33347,42.0,4.0,18.0,9.0,13.0,15.0,18.0,46.0,2.0,12.0,9240.0,73.0,49.0,24.0,127800.0,0.0,50.0,23.0,7.0,12.0,16.0,21.0,26.0,0.0,32.0,29.0,7.0,1.0,18.0,11.0,6.0,9.0,15.0,20.0,28.0,10.0,10.0,-1.0,10.0,1.0,1000.0,0.0,1000.0,13.0,7.0,13.0,38.0,84.0,12.0,0.0,11.0,0.0,4020.0
1252,13.0,0.0,4.0,11.0,1.0,1.0,1.0,54.0,1.0,14.0,15000.0,41.0,29.0,12.0,104188.0,11696.0,1.0,25.0,0.0,1.0,1.0,4.0,4.0,0.0,26.0,11.0,11.0,0.0,2.0,80.0,1.0,1.0,3.0,4.0,6.0,16.0,16.0,-1.0,53.0,2.0,8055.0,3.0,0.0,45.0,32.0,45.0,47.0,37.0,84.0,13.0,22.0,5639.0,8471.0
5312,61.0,4.0,60.0,34.0,5.0,10.0,26.0,32.0,1.0,14.0,5251.0,115.0,101.0,14.0,50095.0,20151.0,200.0,52.0,0.0,4.0,13.0,33.0,49.0,0.0,99.0,90.0,9.0,4.0,6.0,36.0,0.0,7.0,12.0,30.0,56.0,33.0,33.0,40.0,33.0,4.0,20887.0,3.0,21842.0,24.0,24.0,10.0,52.0,84.0,84.0,84.0,36.0,14922.0,16685.0
952,22.0,1.0,15.0,9.0,0.0,0.0,0.0,27.0,1.0,15.0,1000.0,55.0,33.0,22.0,347156.0,331702.0,50.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,23.0,11.0,2.0,10.0,929.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,267.0,33.0,2.0,14960.0,20.0,67700.0,58.0,58.0,22.0,370.0,84.0,84.0,84.0,52.0,282388.0,577.0
15530,10.0,0.0,8.0,6.0,2.0,2.0,5.0,40.0,1.0,8.0,1620.0,23.0,18.0,5.0,16038.0,16038.0,342.0,9.0,0.0,1.0,4.0,8.0,9.0,0.0,14.0,15.0,1.0,0.0,0.0,69.0,0.0,0.0,2.0,8.0,9.0,36.0,36.0,-1.0,36.0,1.0,0.0,1.0,0.0,22.0,18.0,22.0,19.0,13.0,13.0,13.0,69.0,16038.0,0.0
9378,27.0,14.0,25.0,13.0,19.0,22.0,24.0,34.0,2.0,16.0,1000.0,40.0,27.0,13.0,76444.0,70744.0,50.0,6.0,8.0,14.0,15.0,17.0,21.0,0.0,25.0,24.0,9.0,0.0,11.0,8.0,7.0,19.0,22.0,24.0,29.0,8.0,8.0,-1.0,8.0,4.0,3824.0,5.0,0.0,24.0,24.0,13.0,79.0,55.0,55.0,55.0,8.0,25730.0,2191.0
28495,7.0,0.0,7.0,5.0,0.0,1.0,1.0,31.0,1.0,9.0,1606.0,57.0,52.0,5.0,96932.0,0.0,500.0,21.0,1.0,2.0,4.0,14.0,31.0,0.0,50.0,35.0,3.0,2.0,3.0,87.0,1.0,3.0,5.0,7.0,23.0,16.0,16.0,30.0,30.0,1.0,10500.0,0.0,4100.0,14.0,0.0,14.0,0.0,0.0,6.0,0.0,16.0,0.0,12590.0
11963,39.0,4.0,36.0,23.0,14.0,19.0,32.0,28.0,2.0,22.0,11000.0,142.0,130.0,12.0,35200.0,8266.0,50.0,38.0,7.0,18.0,24.0,52.0,92.0,0.0,130.0,119.0,9.0,3.0,10.0,15.0,3.0,11.0,20.0,49.0,95.0,7.0,7.0,29.0,7.0,1.0,4700.0,2.0,10000.0,24.0,24.0,0.0,48.0,13.0,1.0,13.0,15.0,8609.0,14472.0
21069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
35906,3.0,1.0,3.0,1.0,0.0,0.0,1.0,25.0,1.0,14.0,1606.0,3.0,1.0,2.0,4389.0,3004.0,407.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,140.0,0.0,0.0,0.0,1.0,3.0,16.0,16.0,-1.0,16.0,0.0,0.0,1.0,0.0,7.0,1.0,7.0,1.0,6.0,84.0,6.0,140.0,2880.0,62.0
24379,3.0,0.0,0.0,3.0,0.0,0.0,1.0,48.0,1.0,4.0,2000.0,27.0,24.0,3.0,36938.0,0.0,1996.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,3.0,0.0,1.0,137.0,0.0,1.0,1.0,2.0,3.0,32.0,32.0,-1.0,63.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,36.0,0.0,50.0,0.0,566.0
23518,4.0,0.0,1.0,3.0,0.0,0.0,0.0,33.0,2.0,4.0,1000.0,134.0,129.0,5.0,100865.0,101346.0,310.0,127.0,0.0,0.0,0.0,0.0,2.0,0.0,121.0,89.0,4.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,2.0,236.0,236.0,-1.0,236.0,0.0,0.0,5.0,0.0,24.0,24.0,11.0,79.0,55.0,53.0,55.0,243.0,77251.0,0.0
30882,23.0,1.0,22.0,18.0,3.0,12.0,16.0,60.0,2.0,22.0,15000.0,28.0,13.0,15.0,129286.0,72168.0,500.0,4.0,1.0,5.0,8.0,9.0,9.0,0.0,13.0,11.0,14.0,1.0,9.0,17.0,6.0,12.0,16.0,23.0,23.0,16.0,17.0,16.0,16.0,7.0,40858.0,2.0,500.0,23.0,23.0,0.0,24.0,47.0,0.0,47.0,17.0,72168.0,33630.0
33998,12.0,0.0,9.0,9.0,6.0,6.0,8.0,20.0,2.0,8.0,1606.0,29.0,21.0,8.0,66763.0,65461.0,200.0,4.0,0.0,4.0,5.0,11.0,17.0,0.0,21.0,18.0,6.0,2.0,4.0,22.0,1.0,3.0,6.0,13.0,18.0,8.0,8.0,44.0,8.0,1.0,290.0,5.0,501.0,25.0,14.0,25.0,43.0,69.0,26.0,69.0,22.0,36301.0,333.0
12758,12.0,0.0,12.0,12.0,6.0,6.0,7.0,28.0,2.0,12.0,1000.0,34.0,23.0,11.0,16463.0,15792.0,500.0,13.0,1.0,1.0,2.0,7.0,10.0,0.0,22.0,21.0,11.0,0.0,9.0,24.0,2.0,5.0,6.0,9.0,14.0,9.0,9.0,421.0,9.0,2.0,4700.0,6.0,0.0,24.0,24.0,12.0,93.0,84.0,13.0,84.0,24.0,6784.0,697.0
4076,10.0,1.0,5.0,9.0,2.0,2.0,3.0,26.0,1.0,6.0,1606.0,31.0,23.0,8.0,36876.0,3118.0,400.0,18.0,0.0,0.0,1.0,1.0,5.0,0.0,20.0,10.0,8.0,0.0,3.0,63.0,0.0,1.0,3.0,4.0,8.0,12.0,12.0,-1.0,17.0,1.0,0.0,7.0,0.0,62.0,62.0,34.0,175.0,6.0,4.0,4.0,45.0,1680.0,1824.0
27321,21.0,1.0,20.0,19.0,0.0,2.0,9.0,33.0,1.0,6.0,1000.0,107.0,96.0,11.0,92613.0,113253.0,300.0,77.0,6.0,7.0,9.0,14.0,19.0,0.0,95.0,78.0,9.0,1.0,7.0,83.0,0.0,0.0,3.0,12.0,21.0,27.0,27.0,28.0,27.0,5.0,24238.0,8.0,1000.0,23.0,23.0,12.0,75.0,27.0,84.0,27.0,83.0,81671.0,798.0
19077,12.0,1.0,11.0,1.0,1.0,1.0,1.0,41.0,1.0,10.0,1606.0,16.0,5.0,11.0,505733.0,221621.0,1200.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,0.0,9.0,2.0,36.0,0.0,1.0,1.0,1.0,5.0,31.0,31.0,32.0,31.0,1.0,25346.0,8.0,226846.0,24.0,24.0,0.0,119.0,84.0,0.0,84.0,36.0,222205.0,3208.0
17951,3.0,0.0,3.0,1.0,0.0,0.0,0.0,20.0,1.0,10.0,4000.0,49.0,43.0,6.0,13784.0,13784.0,500.0,23.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,32.0,5.0,1.0,4.0,251.0,0.0,0.0,0.0,0.0,19.0,236.0,236.0,241.0,236.0,1.0,7300.0,2.0,6800.0,8.0,8.0,5.0,20.0,8.0,84.0,8.0,251.0,12981.0,0.0
35813,44.0,0.0,41.0,26.0,7.0,14.0,18.0,39.0,2.0,17.0,5000.0,117.0,100.0,17.0,210656.0,173823.0,96.0,30.0,1.0,6.0,17.0,36.0,70.0,0.0,97.0,81.0,12.0,4.0,9.0,28.0,3.0,8.0,20.0,39.0,80.0,7.0,7.0,9.0,7.0,1.0,10300.0,2.0,22150.0,20.0,20.0,13.0,29.0,13.0,84.0,13.0,19.0,147187.0,22643.0
18849,5.0,0.0,2.0,2.0,0.0,0.0,0.0,46.0,1.0,1.0,1606.0,13.0,8.0,5.0,1690068.0,368648.0,600.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,5.0,2.0,0.0,2.0,670.0,0.0,0.0,0.0,0.0,0.0,233.0,567.0,-1.0,567.0,1.0,0.0,4.0,0.0,24.0,24.0,1.0,81.0,84.0,1.0,84.0,670.0,30736.0,1324.0
4633,28.0,5.0,18.0,19.0,0.0,14.0,18.0,20.0,2.0,10.0,4000.0,66.0,55.0,11.0,41875.0,0.0,500.0,3.0,3.0,5.0,12.0,29.0,52.0,0.0,49.0,51.0,7.0,1.0,8.0,4.0,3.0,8.0,16.0,34.0,60.0,4.0,4.0,40.0,4.0,3.0,10368.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,5833.0
13550,3.0,0.0,3.0,3.0,3.0,3.0,3.0,28.0,1.0,6.0,1606.0,3.0,2.0,1.0,1733.0,0.0,300.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,31.0,1.0,3.0,3.0,3.0,3.0,22.0,22.0,-1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,437.0
26357,8.0,5.0,7.0,8.0,5.0,5.0,7.0,22.0,1.0,8.0,15000.0,14.0,11.0,3.0,19048.0,4405.0,400.0,3.0,1.0,2.0,6.0,6.0,8.0,0.0,11.0,9.0,2.0,1.0,1.0,21.0,1.0,2.0,6.0,8.0,9.0,21.0,21.0,424.0,21.0,1.0,1100.0,1.0,4100.0,5.0,5.0,3.0,5.0,13.0,3.0,13.0,21.0,4405.0,2165.0
1484,9.0,0.0,6.0,5.0,0.0,0.0,1.0,41.0,1.0,9.0,2000.0,31.0,23.0,8.0,354434.0,61128.0,500.0,21.0,0.0,1.0,1.0,2.0,2.0,0.0,19.0,17.0,5.0,0.0,3.0,252.0,0.0,1.0,1.0,2.0,6.0,11.0,22.0,-1.0,252.0,2.0,4660.0,5.0,0.0,24.0,24.0,15.0,62.0,45.0,23.0,45.0,40.0,37714.0,2572.0
21494,5.0,1.0,4.0,4.0,3.0,3.0,3.0,44.0,1.0,6.0,2000.0,7.0,2.0,5.0,323175.0,1646.0,400.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,4.0,0.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,-1.0,4.0,3.0,1700.0,2.0,0.0,21.0,21.0,0.0,33.0,23.0,0.0,23.0,4.0,1586.0,4304.0
16654,8.0,0.0,5.0,5.0,0.0,1.0,2.0,34.0,2.0,6.0,4000.0,22.0,17.0,5.0,102320.0,29261.0,1400.0,5.0,1.0,1.0,3.0,6.0,12.0,0.0,17.0,11.0,4.0,1.0,1.0,25.0,1.0,1.0,3.0,6.0,14.0,8.0,8.0,298.0,68.0,1.0,2500.0,2.0,10325.0,6.0,6.0,1.0,9.0,13.0,60.0,13.0,25.0,32166.0,9982.0
11046,7.0,2.0,7.0,3.0,3.0,3.0,3.0,22.0,1.0,4.0,1000.0,10.0,4.0,6.0,33106.0,30257.0,229.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,1.0,1.0,4.0,14.0,2.0,3.0,3.0,4.0,4.0,25.0,25.0,167.0,25.0,1.0,1300.0,4.0,27262.0,12.0,12.0,0.0,34.0,13.0,0.0,13.0,14.0,30429.0,1409.0
19394,5.0,4.0,5.0,5.0,5.0,5.0,5.0,18.0,2.0,16.0,1500.0,5.0,4.0,1.0,926.0,0.0,400.0,0.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,1.0,0.0,1.0,8.0,2.0,5.0,5.0,5.0,5.0,8.0,8.0,-1.0,8.0,1.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,926.0
21011,5.0,0.0,3.0,2.0,0.0,0.0,0.0,41.0,2.0,6.0,40000.0,50.0,43.0,7.0,27344.0,13745.0,500.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,43.0,9.0,4.0,0.0,2.0,1030.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,-1.0,680.0,1.0,0.0,3.0,0.0,61.0,61.0,2.0,147.0,70.0,13.0,70.0,30.0,12440.0,3280.0
35425,7.0,5.0,6.0,6.0,5.0,6.0,7.0,19.0,2.0,3.0,15000.0,7.0,5.0,2.0,1988.0,0.0,400.0,0.0,2.0,3.0,5.0,5.0,5.0,0.0,5.0,5.0,1.0,0.0,2.0,15.0,2.0,3.0,6.0,7.0,7.0,3.0,15.0,-1.0,3.0,1.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1208.0
25940,20.0,8.0,17.0,1.0,11.0,11.0,15.0,34.0,1.0,10.0,1000.0,29.0,22.0,7.0,400177.0,69225.0,100.0,9.0,0.0,3.0,9.0,13.0,13.0,0.0,16.0,19.0,5.0,1.0,4.0,7.0,1.0,5.0,12.0,17.0,17.0,13.0,13.0,448.0,34.0,1.0,1200.0,1.0,1700.0,48.0,18.0,48.0,25.0,13.0,13.0,13.0,7.0,67744.0,4067.0
29003,17.0,1.0,15.0,8.0,2.0,4.0,7.0,41.0,1.0,19.0,5000.0,28.0,18.0,10.0,18080.0,21249.0,400.0,6.0,1.0,2.0,3.0,9.0,12.0,0.0,14.0,17.0,5.0,3.0,8.0,20.0,1.0,3.0,4.0,7.0,17.0,25.0,25.0,28.0,25.0,3.0,2900.0,1.0,8500.0,24.0,24.0,23.0,24.0,53.0,84.0,53.0,20.0,1016.0,4765.0
29392,7.0,0.0,6.0,2.0,0.0,0.0,0.0,32.0,1.0,12.0,1500.0,8.0,1.0,7.0,42888.0,39868.0,482.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,6.0,273.0,0.0,0.0,0.0,0.0,2.0,35.0,35.0,35.0,35.0,0.0,0.0,7.0,2100.0,24.0,24.0,0.0,72.0,84.0,0.0,84.0,273.0,9534.0,0.0
1452,8.0,0.0,3.0,5.0,0.0,0.0,2.0,44.0,1.0,13.0,4000.0,28.0,18.0,10.0,69932.0,78563.0,300.0,13.0,0.0,0.0,0.0,5.0,5.0,0.0,12.0,9.0,5.0,1.0,3.0,119.0,0.0,0.0,0.0,8.0,8.0,42.0,45.0,897.0,119.0,3.0,4572.0,8.0,15600.0,56.0,56.0,25.0,187.0,84.0,84.0,84.0,119.0,50945.0,380.0
11726,6.0,1.0,5.0,1.0,0.0,0.0,1.0,32.0,1.0,2.0,2500.0,10.0,4.0,6.0,374525.0,113701.0,300.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,4.0,1.0,0.0,1.0,182.0,0.0,0.0,0.0,0.0,4.0,53.0,76.0,-1.0,53.0,1.0,24583.0,5.0,0.0,24.0,24.0,2.0,69.0,84.0,13.0,84.0,182.0,158686.0,0.0
20177,10.0,3.0,10.0,5.0,4.0,4.0,5.0,32.0,2.0,7.0,2626.0,58.0,48.0,10.0,26813.0,15433.0,50.0,37.0,1.0,2.0,3.0,6.0,11.0,0.0,34.0,20.0,8.0,0.0,6.0,16.0,1.0,3.0,4.0,7.0,14.0,16.0,16.0,-1.0,16.0,2.0,1500.0,7.0,0.0,17.0,17.0,6.0,67.0,13.0,6.0,12.0,16.0,22981.0,2249.0
8406,8.0,2.0,5.0,5.0,1.0,3.0,3.0,48.0,2.0,6.0,2000.0,13.0,5.0,8.0,123201.0,18653.0,1950.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,4.0,2.0,5.0,1.0,1.0,12.0,2.0,3.0,4.0,4.0,6.0,12.0,12.0,-1.0,12.0,2.0,3276.0,2.0,500.0,24.0,24.0,0.0,47.0,13.0,0.0,13.0,12.0,18653.0,5466.0
36684,8.0,0.0,8.0,5.0,2.0,5.0,7.0,23.0,1.0,10.0,1000.0,9.0,1.0,8.0,23050.0,0.0,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,5.0,52.0,0.0,2.0,4.0,7.0,7.0,37.0,37.0,44.0,48.0,1.0,0.0,0.0,26300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,3111.0
28377,7.0,0.0,2.0,3.0,0.0,0.0,0.0,38.0,2.0,3.0,1000.0,79.0,70.0,9.0,98782.0,98781.0,399.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,41.0,6.0,0.0,4.0,469.0,0.0,0.0,0.0,0.0,0.0,450.0,450.0,-1.0,450.0,3.0,4151.0,9.0,0.0,24.0,24.0,10.0,159.0,54.0,53.0,54.0,469.0,88943.0,0.0
23063,1.0,0.0,1.0,1.0,0.0,0.0,0.0,31.0,2.0,10.0,4000.0,49.0,47.0,2.0,14776.0,0.0,193.0,45.0,0.0,0.0,0.0,1.0,2.0,0.0,47.0,30.0,2.0,0.0,1.0,180.0,0.0,0.0,0.0,1.0,2.0,7.0,7.0,-1.0,119.0,1.0,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,180.0,0.0,5597.0
33461,2.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,2.0,3.0,1000.0,18.0,16.0,2.0,9667.0,9619.0,1205.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,8.0,1.0,0.0,2.0,343.0,0.0,0.0,0.0,0.0,1.0,15.0,350.0,-1.0,15.0,1.0,4000.0,1.0,0.0,14.0,8.0,14.0,9.0,43.0,84.0,23.0,343.0,9619.0,49.0
13784,11.0,0.0,3.0,11.0,0.0,0.0,0.0,46.0,2.0,7.0,1071.0,16.0,5.0,11.0,469166.0,283676.0,180.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,11.0,0.0,2.0,541.0,1.0,1.0,1.0,1.0,3.0,14.0,14.0,-1.0,515.0,0.0,0.0,4.0,0.0,10.0,10.0,0.0,17.0,13.0,1.0,13.0,27.0,284391.0,5279.0
10775,13.0,0.0,8.0,7.0,1.0,1.0,1.0,33.0,2.0,18.0,15000.0,23.0,6.0,17.0,115488.0,53539.0,300.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,3.0,11.0,4.0,7.0,10.0,1.0,2.0,2.0,4.0,17.0,11.0,11.0,67.0,93.0,1.0,400.0,6.0,9600.0,27.0,27.0,0.0,61.0,24.0,1.0,24.0,10.0,30913.0,2239.0
8442,15.0,3.0,15.0,11.0,3.0,6.0,6.0,23.0,1.0,15.0,2000.0,26.0,8.0,18.0,22646.0,20351.0,200.0,0.0,1.0,4.0,4.0,7.0,8.0,0.0,8.0,8.0,9.0,0.0,18.0,20.0,1.0,5.0,6.0,7.0,10.0,20.0,20.0,-1.0,20.0,2.0,2700.0,17.0,0.0,3.0,3.0,0.0,35.0,13.0,0.0,13.0,20.0,3475.0,2295.0
36238,15.0,0.0,10.0,4.0,1.0,1.0,3.0,26.0,2.0,4.0,6000.0,73.0,58.0,15.0,173792.0,84436.0,530.0,39.0,0.0,0.0,2.0,5.0,19.0,0.0,53.0,14.0,5.0,2.0,5.0,43.0,0.0,1.0,2.0,6.0,16.0,7.0,7.0,20.0,20.0,4.0,34906.0,7.0,16000.0,24.0,24.0,24.0,79.0,13.0,18.0,13.0,43.0,84436.0,7327.0
11363,3.0,0.0,2.0,0.0,0.0,0.0,1.0,18.0,1.0,8.0,1000.0,3.0,0.0,3.0,2690.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,146.0,0.0,0.0,0.0,1.0,3.0,21.0,-1.0,21.0,21.0,0.0,0.0,0.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,99.0
24345,19.0,1.0,19.0,10.0,0.0,2.0,2.0,47.0,2.0,28.0,13000.0,64.0,55.0,9.0,97388.0,0.0,1800.0,13.0,1.0,5.0,7.0,20.0,42.0,0.0,53.0,30.0,7.0,2.0,1.0,25.0,3.0,7.0,11.0,22.0,44.0,20.0,20.0,50.0,20.0,4.0,30500.0,0.0,9000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,85587.0
35997,7.0,2.0,6.0,4.0,1.0,4.0,4.0,36.0,1.0,15.0,8000.0,18.0,12.0,6.0,1700972.0,16012.0,294.0,3.0,1.0,2.0,3.0,6.0,9.0,0.0,9.0,9.0,3.0,2.0,2.0,18.0,1.0,2.0,4.0,8.0,13.0,18.0,18.0,46.0,18.0,2.0,8501.0,2.0,8601.0,14.0,14.0,0.0,15.0,16.0,13.0,16.0,18.0,16012.0,22242.0
9981,4.0,1.0,2.0,2.0,1.0,1.0,1.0,37.0,1.0,7.0,10000.0,10.0,7.0,3.0,28079.0,22494.0,219.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,22.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,254.0,10.0,0.0,0.0,3.0,7455.0,56.0,56.0,1.0,69.0,84.0,13.0,84.0,22.0,11443.0,0.0
34636,3.0,0.0,1.0,3.0,0.0,0.0,0.0,36.0,1.0,5.0,1000.0,7.0,3.0,4.0,64263.0,46574.0,300.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,2.0,368.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,-1.0,25.0,2.0,45515.0,3.0,0.0,38.0,38.0,2.0,97.0,16.0,1.0,16.0,368.0,45187.0,599.0
11120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,4.0,1620.0,2.0,1.0,1.0,5742.0,0.0,6162.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,18.0,18.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,198.0
16714,7.0,3.0,6.0,4.0,3.0,3.0,4.0,30.0,1.0,3.0,1850.0,10.0,6.0,4.0,421310.0,8142.0,400.0,0.0,1.0,2.0,3.0,6.0,6.0,0.0,6.0,6.0,1.0,1.0,1.0,17.0,1.0,2.0,3.0,7.0,7.0,17.0,17.0,262.0,17.0,1.0,1000.0,1.0,16600.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,17.0,8878.0,3833.0
